code,annex_seq,hazard,indicator,definition_short,processing_note,source_citation,reference_year,production_specific
D-01,1,Drought,"Standardized Precipitation Index (SPI)","Average number of drought events per year per pixel; a drought event = three consecutive months with < 50% of average precipitation. (Labelled ""SPI"" in the CRI doc; in the source it is a bespoke drought-event-frequency count, not the WMO-standard SPI.)","",Ericksen et al. 2011 (CCAFS Report No. 5),1974-2004,No
D-02,2,Drought,"Failed season","Probability of a failed growing season: sufficient rainfall at start for germination/establishment, fewer than 50 growing days, and a clearly defined end. Reported as % cropping reliability.","",Hyman et al. 2025 (Failed Season) [NOTE: doc's cited Hyman 2025 is a Gulf of Mexico fishery paper (arXiv 2503.17293) -- mis-citation; correct source TBC],100 years,"Yes (based on cost of production exceeding harvest value; no specific crop)"
D-03,3,Drought,"Available blue water","Renewable freshwater available to a sub-basin with upstream consumption removed (internal runoff + upstream discharge). cm/year.","",Aqueduct 4.0 (Kuzma et al. 2023; WRI 2023),2030,No
D-04,4,Drought,"Gross water demand and net consumption","Maximum potential sectoral water demand and portion lost in use, for domestic/industrial/irrigation/livestock. 8 monthly gridded sets, Jan 1960-Dec 2019.","",Aqueduct 4.0 (Kuzma et al. 2023; WRI 2023),2030,No
D-05,5,Drought,"Baseline water stress","Ratio of total water demand to available renewable surface + groundwater supplies. Higher = more competition.","Manually masked",Aqueduct 4.0 (Kuzma et al. 2023; WRI 2023),2030,No
F-01,6,Flooding,"Dartmouth flood frequency","Global flood frequency from extreme flood events 1985-2003, georeferenced to nearest degree, classified into 10 classes.","Manually masked",Ericksen et al. 2011 (Dartmouth Flood Observatory),1985-2003,No
F-02,7,Flooding,"River flood hazard","Water volume in river flood plains, 1-in-10 annual probability event, RCP8.5; ISI-MIP forcing 2010-2049; bias-corrected rainfall. Metres above ground level.","Manually masked",Aqueduct Floods (Ward et al. 2020; WRI 2020),2030,No
F-03,8,Flooding,"Coastal flood hazard","Coastal flood risk incl. sea-level rise, no flood protection assumed; GTSR extreme water levels 1979-2014; MERIT DEM 30""; 1-in-10 event, metres above ground.","Manually masked",Aqueduct Floods (Ward et al. 2020; WRI 2020),2030,No
R-01,9,Changed rainfall,"LGP flip over 120 days","Areas where length of growing period flips from >120 days/yr to <120 days/yr. Growing day = mean air temp >6C and actual/potential ET ratio >0.35.","",Ericksen et al. 2011 (CCAFS Report No. 5),2050,No
R-02,10,Changed rainfall,"LGP flip over 90 days","Areas where length of growing period flips from >90 days/yr to <90 days/yr (same LGP definition as R-01).","",Ericksen et al. 2011 (CCAFS Report No. 5),2050,No
R-03,11,Changed rainfall,"Annual rainfall coefficient of variation","Areas where CV of annual rainfall (SD/mean, %) currently exceeds the global 75th percentile (28%).","",Ericksen et al. 2011 (CCAFS Report No. 5),Historic,No
R-04,12,Changed rainfall,"Intra-annual variability","Between-year variability of available water supply (surface + groundwater); 30-year periods centred on 2030/2050/2080.","",Aqueduct 4.0 (Kuzma et al. 2023; WRI 2023),2030,No
R-05,13,Changed rainfall,"Seasonal variability","Within-year variability of available water supply (surface + groundwater).","",Aqueduct 4.0 (Kuzma et al. 2023; WRI 2023),2030,No
T-01,14,High temperature,"Extreme humid heat days","Annual count of days with max Wet Bulb Globe Temperature (WBGTmax) > 28/30/32 C (ISO occupational-heat thresholds). 0.05 deg, 1983-2016.","Manually masked",Tuholske et al. 2023 (GEHE),1983-2016,No
T-03,15,High temperature,"LGP-linked temperature stress","Areas where length of growing period flips from >120 days/yr to <120 days/yr. NOTE: wording is verbatim identical to R-01; appears to be a duplicate of the changed-rainfall LGP row placed under High Temperature.","Manually masked",Ericksen et al. 2011 (CCAFS Report No. 5),2050,No
T-02,16,High temperature,"Growing-season Tmax flip over 30C","Areas where mean daily max temperature flips from <30 C to >30 C during the primary growing season, masked where LGP > 40 days.","Manually masked",Ericksen et al. 2011 (CCAFS Report No. 5),2050,No
S-01,17,Salinity,"Global map of salt-affected soils","Spatial distribution of salt-affected soils: ECe > 2 dS/m and/or ESP > 15% and/or pH > 8.2.","Manually masked",FAO Global Soil Partnership GSASmap (FAO n.d.; Omuto et al. 2020),1970-2005,No
S-02,18,Salinity,"Global soil salinity","Soil salinity as ECe index classes: slightly (2-4), moderately (4-8), highly (8-16), extremely (>16) saline.","Manually masked",ISRIC Global Soil Salinity (ISRIC 2019; Ivushkin et al. 2019),1986-2016,No
W-01,19,Soil water,"Water retention at 1500 kPa, 30-60 cm","Soil capacity to hold water/air at 1500 kPa, 30-60 cm depth. From WoSIS profiles + random-forest pedotransfer function.","",ISRIC WoSIS (Batjes et al. 2024),1918-2013,No
W-02,20,Soil water,"Available water capacity, 30-60 cm","Fraction of water soil can store and release for plant use = field capacity minus permanent wilting point, 30-60 cm.","",SoilGrids250m (Hengl et al. 2017),1950-2016,Yes
W-03,21,Soil water,"Rooting zone water storage capacity","Modelled root-zone storage from surface to weathered bedrock; sized to expected max cumulative water deficit within a return period.","",Stocker et al. 2023 (Rooting zone water),2003-2018,Yes
W-04,22,Soil water,"Plant-available soil water","Stored water available for plant use = field capacity minus wilting point in root zone; soil water retention model + Ksat + rainfall-gap logic over 37 years.","",Gupta et al. 2023 (Plant-available soil water),1979-2016,Yes
I-01,23,Irrigation,"Area equipped with irrigation","Spatial data on area actively irrigated and areas equipped but not actively cultivated; from national/subnational statistics 2000-2015, 243 countries.","",Mehta et al. 2024 (Area Equipped with Irrigation),2000-2015,No
